ResponseID,ResponseSet,IPAddress,StartDate,EndDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalDataReference,Finished,Status,va Cell Phone,Response ID,Timestamp MM/dd/yyyy,Custom Variable 1,Custom Variable 2,Custom Variable 3,Custom Variable 4,Respondent Email,Region,How many people are in the veterans household including the veteran,Veterans First Name if first name is not provided  please type,Veterans Email Address yourname.com,Cell Phone XXX-XXX-XXXX 1-999-999-9999,UserAgent,Q_URL,Q35,QIS,QIVA,Q1,Q2,Q3,Q4,Q5,Q6,Q7,F37,Q8 into,Q8.1-1a,Q8.1-1b,Q8.1-1c_1,Q8.2-2a,Q8.2-2b,Q8.2-2c_1,Q8.3-a_1,Q8.3-a_2,Q8.3-a_3,Q8.3-a_4,Q8.3-a_5,Q8.3-a_6,Q8.3-a_7,Q8.3-a_8,Q8.3-b_1,Q8.3-b_2,Q8.3-b_3,Q8.3-b_4,Q8.3-b_5,Q8.3-b_6,Q8.3-b_7,Q8.3-b_8,Q8.3-c_1,Q8.3-c_2,Q8.3-c_3,Q8.3-c_4,Q8.3-c_5,Q8.3-c_6,Q8.3-c_7,Q8.3-c_8,Q8.4-a_1,Q8.4-a_2,Q8.4-a_3,Q8.4-a_4,Q8.4-a_5,Q8.4-a_6,Q8.4-a_6_TEXT,Q8.4-b_1,Q8.4-b_2,Q8.4-b_3,Q8.4-b_4,Q8.4-b_5,Q8.4-b_6,Q8.4-b_6_TEXT,Q8.4-c_1,Q8.4-c_2,Q8.4-c_3,Q8.4-c_4,Q8.4-c_5,Q8.4-c_6,Q8.4-c_6_TEXT,Q15,Q16,Q17,Q18,Negative,date range
577,Default Response Set,,5/1/16 14:07,5/1/16 14:11, ,,,,1,0, ,, ,North Dakota Coalition of Homeless People  Inc.,12-ND-051,,,,ND,,,,,,,1,2,1,5,4,5,4,2,,,,1,1,1,5,1,1,5,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,5,5,5,,5,5,,,1,1,1,2,2,2, ,1,1,1,2,2,2, ,5,5,5,,,, ,1,1,2,,,5/31/2016
578,Default Response Set,,5/1/16 14:33,5/1/16 14:42, ,,,,1,0, ,, ,Volunteers of America of Los Angeles  Inc.,14-CA-176,,,, ,,,,,,,1,1,1,4,4,4,4,2,,,,1,1,1,5,1,2,,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,,,,,5,,,,1,1,1,2,2,, ,1,2,1,2,2,, ,5,,5,,,, ,1,2,2,,,5/31/2016
579,Default Response Set,,5/1/16 14:49,5/1/16 15:13, ,,,,1,0, ,, ,Volunteers of America of the Carolinas  Inc.,16-NC-237,,,,GA,,,,,,,1,3,1,5,4,5,4,1,1,,,1,1,1,5,2,2,,2,2,2,2,1,2,2,1,1,1,1,2,1,2,2,1,3,4,4,,5,,,5,1,2,1,2,2,, ,1,2,1,2,2,, ,5,,5,,,, ,1,2,2,,,5/31/2016
580,Default Response Set,,5/2/16 9:28,5/2/16 9:38, ,,,,1,0, ,, ,Catholic Community Services of Western Washington,13-WA-146,,,,CA,,,,,,,1,1,1,4,4,5,4,1,1,,,1,1,1,5,1,1,5,1,1,,1,1,1,,1,1,1,2,1,1,1,,1,3,3,,5,5,3,,5,1,1,1,1,1,1, ,1,1,1,,,, ,4,,,,,, ,2,1,2,,,5/31/2016
581,Default Response Set,,5/2/16 10:17,5/2/16 10:21, ,,,,1,0, ,, ,Southwest Counseling Solutions,12-MI-045,,,, ,,,,,,,1,4,1,5,4,5,4,1,1,,,1,2,1,5,2,2,,2,2,2,2,2,2,2,1,2,2,2,,1,2,2,1,,,,,5,,,5,1,2,2,1,2,2, ,1,2,1,1,2,2, ,5,,5,5,,, ,2,2,2,,,5/31/2016
582,Default Response Set,,5/2/16 10:19,5/2/16 10:28, ,,,,1,0, ,, ,Cornerstone Rescue Mission,13-SD-136,,,,SD,,,,,,,1,4,1,5,4,5,4,1,1,,,1,1,1,5,2,1,5,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,,5,5,,5,,,5,1,1,1,2,2,2, ,1,1,1,2,2,2, ,5,5,5,,,, ,1,1,1,1,,5/31/2016
583,Default Response Set,,5/2/16 12:03,5/2/16 12:13, ,,,,1,0, ,, ,Goodwill Industries of Houston  Inc.,13-TX-142,,,,TX,,,,,,,1,1,1,4,4,5,3,1,1,,,1,1,1,4,2,2,,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,,,,,4,,,4,1,1,2,2,2,2, ,1,1,2,2,2,2, ,4,4,,,,, ,1,1,1,2,,5/31/2016
584,Default Response Set,,4/25/16 15:19,5/2/16 13:09, ,,,,1,0, ,, ,Family Endeavors  Inc.,C15-TX-601A,,,,TX,,,,,,,1,4,1,3,4,5,4,1,1,,,1,1,1,5,2,2,,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,,5,5,,5,,,5,1,1,1,1,1,, ,1,1,1,1,1,, ,5,5,5,5,5,, ,1,2,2,,,5/31/2016
588,Default Response Set,,5/2/16 23:30,5/2/16 23:36, ,,,,1,0, ,, ,West Central Texas Regional Foundation,15-TX-141,,,,TX,,,,,,,1,2,1,4,4,5,4,1,1,,,1,2,1,4,2,2,,2,2,2,2,1,1,2,2,1,1,1,1,1,1,2,1,4,4,4,4,4,4,,4,1,1,2,2,1,, ,1,1,2,2,2,2, ,4,4,,,,, ,1,1,1,2,,5/31/2016
589,Default Response Set,,5/3/16 9:38,5/3/16 9:42, ,,,,1,0, ,, ,Community Action Partnership,14-ZZ-321,,,,MI,,,,,,,1,1,1,4,3,4,3,2,,,,1,1,1,4,2,2,,1,2,2,1,1,1,2,1,1,2,2,2,2,2,2,1,3,,,,,,,4,1,1,1,1,1,, ,1,2,1,1,2,, ,3,,3,2,,, ,2,2,2,,,5/31/2016
590,Default Response Set,,4/28/16 9:27,5/3/16 11:54, ,,,,1,0, ,, ,St. Francis House  Inc.,13-AR-086,,,,MI,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,4,1,2,,2,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,3,4,3,,,3,3,5,1,1,1,1,1,, ,1,1,1,2,1,, ,5,1,5,,5,, ,2,2,2,,,5/31/2016
591,Default Response Set,,5/3/16 11:56,5/3/16 12:01, ,,,,1,0, ,, ,"Vietnam Veterans of California, Inc. (Sacramento Veterans Resource)",C2015-CA-504A,,,,CA,,,,,,,1,1,1,3,3,4,3,2,,,,1,2,2,,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,4,2,2,1,2,2,2, ,1,2,2,2,2,2, ,4,,,,,, ,1,1,1,2,x,5/31/2016
592,Default Response Set,,5/3/16 12:12,5/3/16 12:26, ,,,,1,0, ,, ,Vietnam Veterans of San Diego,C15-CA-601A,,,,CA,,,,,,,1,1,1,4,3,3,3,1,2,,,1,1,1,4,1,1,4,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,3,,3,,,,,3,1,1,1,1,,, ,2,2,2,2,,, ,,,,,,, ,1,1,2,,x,5/31/2016
595,Default Response Set,,5/3/16 14:50,5/3/16 14:57, ,,,,1,0, ,, ,Vietnam Veterans of California  Inc. (Sacramento Veterans Resource),16-CA-009,,,,CA,,,,,,,1,4,2,5,4,5,4,1,1,,,1,1,1,5,2,2,,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,,5,,,,,,5,1,1,1,2,2,2, ,1,1,1,2,2,2, ,5,5,5,,,, ,2,2,2,,,5/31/2016
596,Default Response Set,,5/3/16 14:49,5/3/16 15:05, ,,,,1,0, ,, ,United Way of Central Alabama,14-ZZ-153,,,,AL,,,,,,,1,1,1,2,3,3,3,2,,,,1,1,1,2,2,2,,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,,,,,,,,1,1,1,1,1,1, ,2,2,1,2,2,2, ,,,3,,,, ,2,1,2,,x,5/31/2016
597,Default Response Set,,5/3/16 15:10,5/3/16 15:24, ,,,,1,0, ,, ,Black Veterans for Social Justice  Inc.,15-NY-252,,,,NY,,,,,,,1,2,1,2,4,5,4,1,1,,,1,1,1,5,1,1,5,2,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,,,5,,,,,,1,2,1,1,2,2, ,1,2,1,1,2,2, ,5,,5,5,,, ,1,1,1,2,,5/31/2016
598,Default Response Set,,5/3/16 16:23,5/3/16 16:28, ,,,,1,0, ,, ,Society of St. Vincent de Paul  South Pinellas  Inc.,C15-FL-502A,,,,FL,,,,,,,1,1,1,5,4,4,4,1,1,,,1,1,1,4,1,1,4,1,1,1,2,1,2,2,1,1,1,1,2,1,2,2,1,4,4,4,,4,,,4,1,1,1,1,1,2, ,1,1,1,1,1,2, ,5,5,5,5,5,, ,1,2,2,,,5/31/2016
600,Default Response Set,,4/29/16 10:57,5/3/16 19:08, ,,,,1,0, ,, ,Travelers Aid of Metropolitan Atlanta  Inc.,14-GA-188,,,,GA,,,,,,,1,3,1,3,3,4,4,1,1,,,1,1,1,3,1,1,4,2,1,2,2,1,2,1,1,1,2,2,2,1,2,2,1,1,,,,4,,,3,1,1,1,1,1,2, ,1,2,1,2,2,2, ,4,,4,,,, ,1,2,1,1,,5/31/2016
602,Default Response Set,,5/4/16 9:54,5/4/16 10:05, ,,,,1,0, ,, ,United Way of Central Alabama,14-ZZ-153,,,,AL,,,,,,,1,3,1,4,3,4,3,1,2,,,1,1,1,5,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,2,2,2,2,2,2, ,1,1,1,1,,, ,5,5,5,5,,, ,2,1,1,2,,5/31/2016
603,Default Response Set,,5/4/16 10:31,5/4/16 10:46, ,,,,1,0, ,, ,Family Endeavors  Inc.,16-TX-074,,,,TX,,,,,,,1,2,1,5,4,5,4,1,1,,,1,1,1,5,2,1,4,2,1,1,2,1,2,2,1,2,1,1,2,1,2,2,1,,5,4,,5,,,5,1,2,2,2,1,2, ,1,2,2,2,1,2, ,5,,,,5,, ,1,2,2,,,5/31/2016
604,Default Response Set,,5/4/16 10:50,5/4/16 10:54, ,,,,1,0, ,, ,Community Psychiatric Clinic,12-WA-078,,,,WA,,,,,,,1,1,2,5,4,5,4,1,1,,,1,1,1,5,1,1,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,,,,,,1,,,,,, ,1,2,2,2,2,2, ,5,,,,,, ,1,1,2,,,5/31/2016
605,Default Response Set,,5/4/16 12:40,5/4/16 13:04, ,,,,1,0, ,, ,Salvation Army  an Illinois Corporation,C15-MO-604A,,,,KS,,,,,,,1,4,1,5,4,5,4,1,1,,,1,2,1,5,1,1,5,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,1,5,5,5,,5,,,5,2,2,1,2,2,2, ,2,2,1,2,2,2, ,,,5,,,, ,2,2,1,1,,5/31/2016
606,Default Response Set,,5/4/16 13:22,5/4/16 13:35, ,,,,1,0, ,, ,Travelers Aid of Metropolitan Atlanta  Inc.,14-GA-188,,,,GA,,,,,,,1,1,1,4,4,5,4,1,1,,,1,1,1,4,2,2,,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,,,,,,,,5,1,1,1,,,, ,1,1,1,,,, ,5,5,5,,,, ,2,2,2,,,5/31/2016
607,Default Response Set,,5/4/16 13:53,5/4/16 13:57, ,,,,1,0, ,, ,United States Veterans Initiative,14-AZ-159,,,,AZ,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,5,2,2,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2, ,1,2,1,2,2,2, ,4,,4,,,, ,1,2,2,,,5/31/2016
608,Default Response Set,,5/4/16 13:50,5/4/16 13:58, ,,,,1,0, ,, ,Columbus House  Inc.,14-CT-178,,,,MA,,,,,,,1,2,1,5,4,5,4,1,1,,,1,1,1,4,2,1,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,4,4,4,4,4,4,,4,1,2,1,2,1,, ,1,2,1,2,1,, ,5,,5,,5,, ,2,1,1,2,,5/31/2016
609,Default Response Set,,5/4/16 13:59,5/4/16 14:12, ,,,,1,0, ,, ,Phoenix Programs  Inc.,14-MO-229,,,,MO,,,,,,,1,1,2,5,4,5,4,1,1,,,1,1,1,5,1,1,4,1,1,2,1,1,2,2,1,2,1,2,2,1,2,2,1,,5,,,5,,,5,1,1,1,2,2,, ,1,1,1,2,2,, ,5,5,5,,,, ,1,1,2,,,5/31/2016
610,Default Response Set,,5/4/16 14:13,5/4/16 14:19, ,,,,1,0, ,, ,St. Patrick Center,16-MO-048,,,,MO,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,5,2,2,,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,,,,,5,,,,2,2,1,2,2,2, ,1,2,1,2,2,2, ,5,,5,,,, ,1,1,1,1,,5/31/2016
611,Default Response Set,,5/4/16 15:07,5/4/16 15:13, ,,,,1,0, ,, ,Economic Opportunity Council of Suffolk  Inc.,14-NY-254,,,,NY,,,,,,,1,1,1,5,4,5,4,2,,,,1,2,2,,1,1,5,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,4,,,,,,,,1,1,2,2,2,, ,2,2,2,2,2,2, ,,,,,,, ,1,1,1,1,,5/31/2016
612,Default Response Set,,5/4/16 15:19,5/4/16 15:24, ,,,,1,0, ,, ,Housing Resource Center of Monterey County,14-CA-161,,,,CA,,,,,,,1,1,2,2,3,1,2,2,,,,1,2,2,,1,2,,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,,,,,,,,3,1,2,2,2,2,2, ,2,2,2,2,2,2, ,,,,,,, ,3,1,1,1,x,5/31/2016
613,Default Response Set,,5/4/16 15:28,5/4/16 15:32, ,,,,1,0, ,, ,Community Action Agency of Columbiana County  Inc.,14-OH-264,,,,OH,,,,,,,1,1,1,4,4,5,4,1,1,,,1,2,2,,2,2,,2,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,,5,,,5,,,,1,2,2,2,2,2, ,1,2,2,2,2,2, ,5,,,,,, ,1,1,1,1,,5/31/2016
614,Default Response Set,,5/4/16 15:46,5/4/16 15:51, ,,,,1,0, ,, ,Housing Counseling Services,14-ZZ-313,,,,DC,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,4,2,2,,2,2,2,1,1,,2,1,2,2,1,2,2,2,2,1,,,3,,,,,4,1,2,1,1,2,2, ,1,2,1,1,2,2, ,5,,4,5,,, ,1,2,1,1,x,5/31/2016
615,Default Response Set,,5/4/16 16:09,5/4/16 16:17, ,,,,1,0, ,, ,Family Endeavors  Inc.,C15-NC-511B,,,,TX,,,,,,,1,1,1,4,3,4,3,1,1,,,1,1,1,5,1,2,,1,1,2,1,1,2,2,2,1,1,2,1,1,2,2,2,5,5,,5,5,,,,1,1,1,2,2,2, ,1,1,1,2,2,2, ,5,5,5,,,, ,2,1,2,,,5/31/2016
616,Default Response Set,,5/4/16 16:50,5/4/16 16:56, ,,,,1,0, ,, ,Vietnam Veterans of San Diego,14-CA-173,,,,CA,,,,,,,1,1,1,3,3,3,3,1,1,,,1,2,1,1,1,1,3,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,,,,,,,,,1,2,1,2,2,2, ,1,,1,2,2,2, ,5,,5,,,, ,2,1,1,2,,5/31/2016
617,Default Response Set,,5/4/16 17:29,5/4/16 17:33, ,,,,1,0, ,, ,Goodwill Industries of New Mexico,12-NM-055,,,,NM,,,,,,,1,2,1,5,4,5,4,1,1,,,1,1,1,5,1,1,5,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,1,5,5,5,5,5,,,5,1,1,1,1,2,2, ,1,1,1,1,2,2, ,5,5,5,5,,, ,2,1,1,2,,5/31/2016
618,Default Response Set,,5/4/16 17:31,5/4/16 17:38, ,,,,1,0, ,, ,Veterans  Inc.,12-ZZ-041,,,,ME,,,,,,,1,2,2,5,4,5,4,1,1,,,1,1,1,5,2,2,,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,,4,,,5,,,,1,1,2,2,2,2, ,1,2,2,2,2,2, ,5,,,,,, ,1,1,1,1,,5/31/2016
619,Default Response Set,,5/4/16 17:41,5/4/16 18:30, ,,,,1,0, ,, ,United States Veterans Initiative,14-AZ-159,,,,AZ,,,,,,,1,2,1,5,4,5,4,1,1,,,1,1,1,5,2,2,,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,,,5,,5,,,5,1,1,1,2,2,2, ,1,1,1,2,2,2, ,5,5,5,,,, ,1,2,1,1,,5/31/2016
620,Default Response Set,,5/4/16 18:25,5/4/16 18:31, ,,,,1,0, ,, ,Family Endeavors  Inc.,C15-NC-511B,,,,TX,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,5,2,1,3,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,,,,3,5,,,5,1,1,1,2,2,, ,1,1,1,2,2,2, ,5,5,5,,,, ,1,1,2,,,5/31/2016
621,Default Response Set,,5/4/16 19:00,5/4/16 19:04, ,,,,1,0, ,, ,American GI Forum National Veterans Outreach Program  Inc.,C15-TX-603A,,,,TX,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,5,2,2,,2,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,,5,,5,,,,5,1,1,1,1,1,, ,1,1,1,1,1,1, ,5,5,5,5,5,5, ,1,2,2,,,5/31/2016
622,Default Response Set,,5/4/16 19:13,5/4/16 19:21, ,,,,1,0, ,, ,Virginia Supportive Housing,12-VA-077,,,,VA,,,,,,,1,1,1,1,1,1,1,2,,,,1,1,2,,2,2,,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,,1,,,,,,1,1,1,1,1,2,2, ,1,1,1,1,,, ,1,1,1,2,,, ,1,2,2,,,5/31/2016
623,Default Response Set,,5/4/16 19:55,5/4/16 19:59, ,,,,1,0, ,, ,United States Veterans Initiative,14-AZ-159,,,,AZ,,,,,,,1,1,1,5,4,5,4,1,1,,,1,1,1,5,2,2,,2,1,1,1,1,2,2,1,2,1,2,1,1,2,2,1,,5,,5,5,,,5,2,2,1,2,2,, ,2,1,2,2,2,2, ,,5,,,,, ,1,2,2,,,5/31/2016
624,Default Response Set,,5/4/16 20:53,5/4/16 20:58, ,,,,1,0, ,, ,Veterans Leadership Program of Western Pennsylvania  Inc.,13-PA-129,,,,PA,,,,,,,1,3,1,5,4,5,4,1,2,,,1,1,1,5,1,1,5,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,5,5,5,5,5,,5,5,1,2,2,2,1,2, ,1,2,2,2,1,2, ,5,,,,5,, ,2,2,2,,,5/31/2016
